cluster_name,entry_id,language,filename,prompt_version,run_number,is_base,cpu_usage,ram_usage,execution_time_ms,test_passed,output_file
grade_school,cpp_grade_school_Exercism (johnngugi),cpp,grade_school.cpp,base,1.backup_20251018_185143,True,10.0,3968,0.0,True,grade_school_results_1.backup_20251018_185143.json
grade_school,cpp_grade_school_Exercism (blogscot),cpp,grade_school.cpp,base,1.backup_20251018_185143,True,50.0,4096,0.0,True,grade_school_results_1.backup_20251018_185143.json
grade_school,cpp_grade_school_Exercism (thefullarcticfox),cpp,grade_school.cpp,base,1.backup_20251018_185143,True,14.0,4480,0.0,True,grade_school_results_1.backup_20251018_185143.json
grade_school,c_grade_school_Exercism (m3g4d1v3r),c,grade_school.c,base,1.backup_20251018_185143,True,20.0,3456,0.0,False,grade_school_results_1.backup_20251018_185143.json
binary_search_tree,c_binary_search_tree_Exercism (ThomasZumsteg),c,binary_search_tree.c,v3,4,False,,,,,binary_search_tree_results_v3_4.json
binary_search_tree,c_binary_search_tree_Exercism (ThomasZumsteg),c,binary_search_tree.c,v3,4,False,,,,,binary_search_tree_results_v3_4.json
binary_search_tree,c_binary_search_tree_Exercism (ThomasZumsteg),c,binary_search_tree.c,v3,4,False,,,,,binary_search_tree_results_v3_4.json
binary_search_tree,cpp_binary_search_tree_Exercism (thefullarcticfox),cpp,binary_search_tree.cpp,v3,4,False,,,,,binary_search_tree_results_v3_4.json
binary_search_tree,cpp_binary_search_tree_Exercism (thefullarcticfox),cpp,binary_search_tree.cpp,v3,4,False,,,,,binary_search_tree_results_v3_4.json
binary_search_tree,cpp_binary_search_tree_Exercism (thefullarcticfox),cpp,binary_search_tree.cpp,v3,4,False,,,,,binary_search_tree_results_v3_4.json
minesweeper,c_minesweeper_Exercism (HeitorMP),c,minesweeper.c,v4,3,False,,,,,minesweeper_results_v4_3.json
minesweeper,c_minesweeper_Exercism (m3g4d1v3r),c,minesweeper.c,v4,3,False,,,,,minesweeper_results_v4_3.json
pascals_triangle,c_pascals_triangle_Exercism (HeitorMP),c,pascals_triangle.c,v3,1,False,,,,,pascals_triangle_results_v3_1.json
pascals_triangle,c_pascals_triangle_Exercism (m3g4d1v3r),c,pascals_triangle.c,v3,1,False,,,,,pascals_triangle_results_v3_1.json
pascals_triangle,c_pascals_triangle_Exercism (vlzware),c,pascals_triangle.c,v3,1,False,,,,,pascals_triangle_results_v3_1.json
