cluster_name,entry_id,language
acronym,c_acronym_Exercism (ThomasZumsteg),c
acronym,c_acronym_Exercism (attilahorvath),c
acronym,c_acronym_Exercism (m3g4d1v3r),c
acronym,c_acronym_Exercism (paddydoyle),c
acronym,c_acronym_Exercism (vlzware),c
acronym,cpp_acronym_Exercism (thefullarcticfox),cpp
all_your_base,c_all_your_base_Exercism (ThomasZumsteg),c
all_your_base,cpp_all_your_base_Exercism (thefullarcticfox),cpp
allergies,c_allergies_Exercism (ThomasZumsteg),c
allergies,c_allergies_Exercism (chriswilding),c
allergies,c_allergies_Exercism (m3g4d1v3r),c
allergies,c_allergies_Exercism (vlzware),c
allergies,cpp_allergies_Exercism (johnngugi),cpp
allergies,cpp_allergies_Exercism (thefullarcticfox),cpp
anagram,c_anagram_Exercism (ThomasZumsteg),c
anagram,c_anagram_Exercism (attilahorvath),c
anagram,c_anagram_Exercism (m3g4d1v3r),c
anagram,c_anagram_Exercism (vlzware),c
anagram,cpp_anagram_Exercism (MaxyMoos),cpp
anagram,cpp_anagram_Exercism (cmccandless),cpp
anagram,cpp_anagram_Exercism (johnngugi),cpp
anagram,cpp_anagram_Exercism (thefullarcticfox),cpp
atbash_cipher,c_atbash_cipher_Exercism (ThomasZumsteg),c
atbash_cipher,c_atbash_cipher_Exercism (m3g4d1v3r),c
atbash_cipher,c_atbash_cipher_Exercism (vlzware),c
atbash_cipher,cpp_atbash_cipher_Exercism (blogscot),cpp
atbash_cipher,cpp_atbash_cipher_Exercism (johnngugi),cpp
atbash_cipher,cpp_atbash_cipher_Exercism (thefullarcticfox),cpp
beer_song,c_beer_song_Exercism (ThomasZumsteg),c
beer_song,c_beer_song_Exercism (m3g4d1v3r),c
beer_song,c_beer_song_Exercism (vlzware),c
beer_song,cpp_beer_song_Exercism (MaxyMoos),cpp
beer_song,cpp_beer_song_Exercism (cmccandless),cpp
beer_song,cpp_beer_song_Exercism (johnngugi),cpp
beer_song,cpp_beer_song_Exercism (thefullarcticfox),cpp
binary,c_binary_Exercism (ThomasZumsteg),c
binary,c_binary_Exercism (leleah),c
binary,c_binary_Exercism (vlzware),c
binary,cpp_binary_Exercism (MaxyMoos),cpp
binary,cpp_binary_Exercism (johnngugi),cpp
binary,cpp_binary_Exercism (thefullarcticfox),cpp
binary_search,c_binary_search_Exercism (HeitorMP),c
binary_search,c_binary_search_Exercism (ThomasZumsteg),c
binary_search,c_binary_search_Exercism (attilahorvath),c
binary_search,c_binary_search_Exercism (vlzware),c
binary_search,cpp_binary_search_Exercism (thefullarcticfox),cpp
binary_search_tree,c_binary_search_tree_Exercism (ThomasZumsteg),c
binary_search_tree,cpp_binary_search_tree_Exercism (thefullarcticfox),cpp
bob,c_bob_Exercism (ThomasZumsteg),c
bob,c_bob_Exercism (attilahorvath),c
bob,c_bob_Exercism (m3g4d1v3r),c
bob,c_bob_Exercism (vlzware),c
bob,cpp_bob_Exercism (ThomasZumsteg),cpp
bob,cpp_bob_Exercism (cmccandless),cpp
bob,cpp_bob_Exercism (johnngugi),cpp
bob,cpp_bob_Exercism (thefullarcticfox),cpp
bracket_push,cpp_bracket_push_Exercism (johnngugi),cpp
circular_buffer,c_circular_buffer_Exercism (m3g4d1v3r),c
circular_buffer,cpp_circular_buffer_Exercism (thefullarcticfox),cpp
clock,c_clock_Exercism (ThomasZumsteg),c
clock,c_clock_Exercism (vlzware),c
clock,cpp_clock_Exercism (MaxyMoos),cpp
clock,cpp_clock_Exercism (cmccandless),cpp
clock,cpp_clock_Exercism (thefullarcticfox),cpp
collatz_conjecture,c_collatz_conjecture_Exercism (ThomasZumsteg),c
collatz_conjecture,c_collatz_conjecture_Exercism (leleah),c
collatz_conjecture,c_collatz_conjecture_Exercism (m3g4d1v3r),c
collatz_conjecture,c_collatz_conjecture_Exercism (vlzware),c
