gemini/GeminiFlash_grains_v1.ts(9,28): error TS2737: BigInt literals are not available when targeting lower than ES2020.
gemini/GeminiFlash_grains_v2.ts(9,24): error TS2583: Cannot find name 'BigInt'. Do you need to change your target library? Try changing the 'lib' compiler option to 'es2020' or later.
gemini/GeminiFlash_grains_v2.ts(9,37): error TS2583: Cannot find name 'BigInt'. Do you need to change your target library? Try changing the 'lib' compiler option to 'es2020' or later.
gemini/GeminiFlash_grains_v2.ts(9,50): error TS2583: Cannot find name 'BigInt'. Do you need to change your target library? Try changing the 'lib' compiler option to 'es2020' or later.
gemini/GeminiFlash_grains_v3.ts(6,16): error TS2737: BigInt literals are not available when targeting lower than ES2020.
gemini/GeminiFlash_grains_v3.ts(6,22): error TS2583: Cannot find name 'BigInt'. Do you need to change your target library? Try changing the 'lib' compiler option to 'es2020' or later.
gemini/GeminiFlash_grains_v3.ts(8,19): error TS2737: BigInt literals are not available when targeting lower than ES2020.
gemini/GeminiFlash_grains_v3.ts(8,25): error TS2737: BigInt literals are not available when targeting lower than ES2020.
gemini/GeminiFlash_grains_v3.ts(8,32): error TS2737: BigInt literals are not available when targeting lower than ES2020.
gemini/GeminiFlash_grains_v4.ts(10,21): error TS2737: BigInt literals are not available when targeting lower than ES2020.
gemini/GeminiFlash_grains_v4.ts(11,23): error TS2737: BigInt literals are not available when targeting lower than ES2020.
gemini/GeminiFlash_grains_v4.ts(14,24): error TS2737: BigInt literals are not available when targeting lower than ES2020.
grains.ts(9,28): error TS2737: BigInt literals are not available when targeting lower than ES2020.
openAI/ChatGPT4_grains_v1.ts(3,44): error TS2737: BigInt literals are not available when targeting lower than ES2020.
openAI/ChatGPT4_grains_v1.ts(3,50): error TS2583: Cannot find name 'BigInt'. Do you need to change your target library? Try changing the 'lib' compiler option to 'es2020' or later.
openAI/ChatGPT4_grains_v1.ts(5,19): error TS2737: BigInt literals are not available when targeting lower than ES2020.
openAI/ChatGPT4_grains_v1.ts(5,25): error TS2737: BigInt literals are not available when targeting lower than ES2020.
openAI/ChatGPT4_grains_v1.ts(5,32): error TS2737: BigInt literals are not available when targeting lower than ES2020.
openAI/ChatGPT4_grains_v2.ts(2,22): error TS2737: BigInt literals are not available when targeting lower than ES2020.
openAI/ChatGPT4_grains_v2.ts(2,22): error TS2791: Exponentiation cannot be performed on 'bigint' values unless the 'target' option is set to 'es2016' or later.
openAI/ChatGPT4_grains_v2.ts(2,28): error TS2737: BigInt literals are not available when targeting lower than ES2020.
openAI/ChatGPT4_grains_v2.ts(2,35): error TS2737: BigInt literals are not available when targeting lower than ES2020.
openAI/ChatGPT4_grains_v3.ts(3,44): error TS2737: BigInt literals are not available when targeting lower than ES2020.
openAI/ChatGPT4_grains_v3.ts(3,50): error TS2583: Cannot find name 'BigInt'. Do you need to change your target library? Try changing the 'lib' compiler option to 'es2020' or later.
openAI/ChatGPT4_grains_v3.ts(5,19): error TS2737: BigInt literals are not available when targeting lower than ES2020.
openAI/ChatGPT4_grains_v3.ts(5,25): error TS2737: BigInt literals are not available when targeting lower than ES2020.
openAI/ChatGPT4_grains_v3.ts(5,32): error TS2737: BigInt literals are not available when targeting lower than ES2020.
openAI/ChatGPT4_grains_v4.ts(2,19): error TS2583: Cannot find name 'BigInt'. Do you need to change your target library? Try changing the 'lib' compiler option to 'es2020' or later.
openAI/ChatGPT4_grains_v4.ts(6,51): error TS2737: BigInt literals are not available when targeting lower than ES2020.
openAI/ChatGPT4_grains_v4.ts(6,57): error TS2583: Cannot find name 'BigInt'. Do you need to change your target library? Try changing the 'lib' compiler option to 'es2020' or later.
