pattern,correlation,p_value,occurrences,avg_improvement_with,avg_improvement_without,effect_size
go_make_slice,0.6110282954753824,8.926542067027215e-27,72,87.31703692458683,21.01585147021854,66.3011854543683
generic_factory_pattern,0.5935550749005503,5.342789709541497e-25,72,85.97150527442125,21.566296236195374,64.40520903822588
generic_loop_optimization,0.5679205477926286,1.4038550352882525e-22,73,83.57337263615076,22.19863037079834,61.374742265352424
generic_guard_clause,0.5487446211841815,6.6704877318283966e-21,72,82.52086013001669,22.97792379526997,59.54293633474671
generic_early_return,0.5390241395631841,4.303791218276757e-20,71,82.18219601412531,23.45017288319672,58.73202313092859
generic_constant_extraction,0.5263155513367999,4.505498692222264e-19,66,83.31137570505837,24.65420725711464,58.65716844794373
go_range_loop,0.45006038659902287,9.023033589781536e-14,41,90.07210137050275,30.399325416126104,59.67277595437665
js_arrow_function,0.40614866369205416,2.8780242914142644e-11,43,83.94216639586091,31.102943230764378,52.83922316509653
go_short_declaration,0.3923686657677439,1.488344265795135e-10,32,90.473063096244,32.826289343744946,57.64677375249906
go_make_map,0.34787548366189774,1.8292702722561626e-08,27,89.28409104726641,34.27577402286209,55.00831702440433
go_method_set,0.34344064697134613,2.8413013093810122e-08,25,90.7847748777645,34.60088406002065,56.18389081774386
js_map_filter_reduce,0.3332435594741466,7.621898642359798e-08,30,84.50918108356714,34.17587653587937,50.333304547687774
generic_null_check,0.3300631245390269,1.0293944058458532e-07,32,82.50028948727945,34.00744098951747,48.492848497761976
js_spread_operator,0.3253035902807308,1.6037970314110872e-07,26,87.08222540140243,34.78143539140655,52.30079000999587
js_class_syntax,0.3070505954073993,8.196398666387069e-07,29,81.82346658683822,34.76135153566396,47.06211505117426
js_destructuring,0.2646806179022744,2.414051095930681e-05,17,88.31913574815017,36.728100474502874,51.5910352736473
cpp_constexpr,0.25523281703672696,4.769160738787835e-05,20,82.70892543136051,36.5413947750066,46.16753065635391
js_template_literals,0.24916159783243252,7.28694036793995e-05,17,85.5015528868572,36.93545505736859,48.566097829488605
python_generator_expression,-0.22720976161552875,0.000309376591100347,26,7.564588792191826,44.09431175104382,-36.52972295885199
cpp_range_based_for,0.22429033716551314,0.0003712177882356153,19,78.61608473316463,37.08258038165323,41.5335043515114
go_error_handling,0.21685722275782532,0.0005842335938252269,15,82.36022067035552,37.554563121345,44.80565754901052
go_blank_identifier,0.20767696344500589,0.001002159822335926,10,90.16540207182919,38.16790964962363,51.99749242220556
java_lambda,0.20639844934878052,0.0010784550805817644,14,81.82512580831225,37.77805451287326,44.04707129543899
go_defer,0.20528036775172176,0.0011495155334064141,10,89.58954576721382,38.1921052926747,51.397440474539124
js_optional_chaining,0.20003082861136906,0.0015442601277605573,10,88.32818148338046,38.24510379199543,50.08307769138503
generic_memoization,0.19281576523308647,0.0022899767063896607,19,73.23423403137626,37.52910947918152,35.70512455219474
python_comprehension,-0.18468019356652116,0.003513794238323303,30,15.744676027224745,43.63888181886227,-27.89420579163752
cpp_uniform_init,0.18093122164083622,0.004255919184544222,11,81.62855314789724,38.344736002961376,43.28381714493586
js_rest_parameters,0.17676456166912452,0.0052441009982052205,8,87.95012227609446,38.67506474633317,49.27505752976129
js_nullish_coalescing,0.17096896110837892,0.006960706334867983,8,86.38665085899353,38.72718046023653,47.659470398757
cpp_lambda,0.16568834638314117,0.008944347994543855,9,82.31792638865473,38.680984016028546,43.63694237262618
generic_single_responsibility,-0.16568636871103182,0.008945176416652588,224,37.59342665702601,65.19537275645374,-27.601946099427728
cpp_auto_keyword,0.1570964919033862,0.013254464891143845,14,71.89764751251111,38.37200620578445,33.52564130672666
python_lambda,-0.15662921018373432,0.01353405533588791,5,-13.515537089406706,41.371169558747944,-54.88670664815465
java_streams,0.15367006684860496,0.01542783761144953,7,84.67446832400067,38.97466904174569,45.69979928225498
python_list_comprehension,-0.1515091673208977,0.016953493273321987,9,1.810055181758641,41.71266117444723,-39.902605992688585
java_method_reference,0.15099081275051768,0.017338465625518513,6,87.49409421739142,39.093603107538705,48.400491109852716
go_goroutine,0.14537198603130316,0.022025235875224924,5,90.17942823250311,39.23752829698026,50.941899935522855
python_enumerate,-0.13710416826672775,0.03089569938631087,10,7.321062091997005,41.64876427062498,-34.32770217862797
cpp_nullptr,0.12831200405061263,0.043507653191209784,4,89.62321063785586,39.45542489662825,50.16778574122761
generic_error_handling_improvement,0.12541279208859737,0.04851600042581785,4,88.50795158228615,39.473707831965456,49.0342437503207
cpp_move_semantics,0.1188673964305189,0.061608824455013554,4,85.99009090993837,39.51498423643018,46.47510667350819
python_type_hints,-0.10459930584887156,0.100295912082364,12,17.41779988777471,41.42628355370941,-24.0084836659347
java_var_keyword,0.10021447391952007,0.1154478354283183,3,84.86960275569795,39.718398812496424,45.15120394320153
js_modules,0.0681974524342161,0.28471170016498815,1,93.05407695984688,40.050860082465064,53.00321687738182
python_f_string,-0.03921276427509916,0.5387925406499345,8,29.68620772290661,40.61719523143943,-10.930987508532823
python_any_all,-0.03758547183460577,0.5557844545234905,8,30.125200229603543,40.602562147882864,-10.477361918279321
go_select_statement,0.03662981255835846,0.5658829975029276,1,68.61856384962937,40.14978928534043,28.468774564288935
python_zip,-0.006077486349449636,0.9241355521285755,3,37.55952038125118,40.297705943612094,-2.7381855623609113
python_dict_comprehension,-0.0028385403032523404,0.9645252747388701,2,38.714058728796154,40.27718861736229,-1.563129888566138
