entry_id,language,llm_pair,average_similarity,has_baseline,success_rate_delta_diff,exec_time_delta_diff,cpu_delta_diff,ram_delta_diff
find_peak_element_157,python,openAI_vs_claude,91.25485228757991,True,0.0,0.0,0.0,0.0
find_peak_element_157,python,openAI_vs_gemini,87.76918029427796,True,0.0,0.0,0.0,0.0
find_peak_element_157,python,claude_vs_gemini,95.94591186028227,True,0.0,0.0,0.0,0.0
a0133clonegraph_81,python,openAI_vs_claude,48.79770873016193,True,0.0,0.0,0.0,0.0
a0133clonegraph_81,python,openAI_vs_gemini,46.96803998588546,True,0.0,0.0,0.0,0.0
a0133clonegraph_81,python,claude_vs_gemini,90.79229812761795,True,0.0,0.0,0.0,0.0
kth_smallest_183,python,openAI_vs_claude,67.92141662831506,True,0.0,0.0,0.0,0.0
kth_smallest_183,python,openAI_vs_gemini,51.95435791957044,True,0.0,0.0,0.0,0.0
kth_smallest_183,python,claude_vs_gemini,84.13713447999956,True,0.0,0.0,0.0,0.0
valid_anagram_176,python,openAI_vs_claude,53.09117305651789,True,0.0,0.0,0.0,0.0
valid_anagram_176,python,openAI_vs_gemini,46.84756610969777,True,0.0,0.0,0.0,0.0
valid_anagram_176,python,claude_vs_gemini,65.37022174946078,True,0.0,0.0,0.0,0.0
Java_log_levels_Exercism (java_rabestro),java,openAI_vs_claude,83.18989917031408,True,0.0,0.0,0.0,0.0
Java_log_levels_Exercism (java_rabestro),java,openAI_vs_gemini,77.73214265969304,True,0.0,0.0,0.0,0.0
Java_log_levels_Exercism (java_rabestro),java,claude_vs_gemini,84.21965296225898,True,0.0,0.0,0.0,0.0
Java_log_levels_Exercism (java_ValMati),java,openAI_vs_claude,87.28092861408206,True,0.0,0.0,0.0,0.0
Java_log_levels_Exercism (java_ValMati),java,openAI_vs_gemini,82.45990432323426,True,0.0,0.0,0.0,0.0
Java_log_levels_Exercism (java_ValMati),java,claude_vs_gemini,81.62637539681305,True,0.0,0.0,0.0,0.0
count_triplets_with_sum_k_179,python,openAI_vs_claude,72.20583021092706,True,0.0,0.0,0.0,0.0
count_triplets_with_sum_k_179,python,openAI_vs_gemini,61.74237835140821,True,0.0,0.0,0.0,0.0
count_triplets_with_sum_k_179,python,claude_vs_gemini,64.65094113362238,True,0.0,0.0,0.0,0.0
prime_factors_241,python,openAI_vs_claude,74.28450251011816,True,0.0,0.0,0.0,0.0
prime_factors_241,python,openAI_vs_gemini,53.38756685156946,True,0.0,0.0,0.0,0.0
prime_factors_241,python,claude_vs_gemini,54.02520916161216,True,0.0,0.0,0.0,0.0
javascript_prime-factors_exercism-javascript-ThomasZumsteg,javascript,openAI_vs_claude,82.71751540556286,True,0.0,0.0,0.0,0.0
javascript_prime-factors_exercism-javascript-ThomasZumsteg,javascript,openAI_vs_gemini,73.34043228397479,True,0.0,0.0,0.0,0.0
javascript_prime-factors_exercism-javascript-ThomasZumsteg,javascript,claude_vs_gemini,79.30464574815745,True,0.0,0.0,0.0,0.0
javascript_prime-factors_exercism-javascript-ThomasZumsteg_ThomasZumsteg,javascript,openAI_vs_claude,82.71751540556286,True,0.0,0.0,0.0,0.0
javascript_prime-factors_exercism-javascript-ThomasZumsteg_ThomasZumsteg,javascript,openAI_vs_gemini,73.34043228397479,True,0.0,0.0,0.0,0.0
javascript_prime-factors_exercism-javascript-ThomasZumsteg_ThomasZumsteg,javascript,claude_vs_gemini,79.30464574815745,True,0.0,0.0,0.0,0.0
typescript_prime-factors_Exercism-typescript-shybyte,typescript,openAI_vs_claude,85.76052230254574,True,0.0,0.0,0.0,0.0
typescript_prime-factors_Exercism-typescript-shybyte,typescript,openAI_vs_gemini,79.4305808495831,True,0.0,0.0,0.0,0.0
typescript_prime-factors_Exercism-typescript-shybyte,typescript,claude_vs_gemini,86.5042823494154,True,0.0,0.0,0.0,0.0
typescript_prime-factors_Exercism-typescript-FilipeCerejo,typescript,openAI_vs_claude,93.4111980440369,True,0.0,0.0,0.0,0.0
typescript_prime-factors_Exercism-typescript-FilipeCerejo,typescript,openAI_vs_gemini,48.587369984501656,True,0.0,0.0,0.0,0.0
typescript_prime-factors_Exercism-typescript-FilipeCerejo,typescript,claude_vs_gemini,51.016173390245214,True,0.0,0.0,0.0,0.0
typescript_prime-factors_Exercism-typescript-shybyte_shybyte,typescript,openAI_vs_claude,85.76052230254574,True,0.0,0.0,0.0,0.0
typescript_prime-factors_Exercism-typescript-shybyte_shybyte,typescript,openAI_vs_gemini,79.4305808495831,True,0.0,0.0,0.0,0.0
typescript_prime-factors_Exercism-typescript-shybyte_shybyte,typescript,claude_vs_gemini,86.5042823494154,True,0.0,0.0,0.0,0.0
typescript_prime-factors_Exercism-typescript-FilipeCerejo_FilipeCerejo,typescript,openAI_vs_claude,93.4111980440369,True,0.0,0.0,0.0,0.0
typescript_prime-factors_Exercism-typescript-FilipeCerejo_FilipeCerejo,typescript,openAI_vs_gemini,48.587369984501656,True,0.0,0.0,0.0,0.0
typescript_prime-factors_Exercism-typescript-FilipeCerejo_FilipeCerejo,typescript,claude_vs_gemini,51.016173390245214,True,0.0,0.0,0.0,0.0
Java_prime-factors_exercism-java-ThomasZumsteg_ThomasZumsteg,java,openAI_vs_claude,89.41310042354075,True,0.0,0.0,0.0,0.0
Java_prime-factors_exercism-java-ThomasZumsteg_ThomasZumsteg,java,openAI_vs_gemini,96.8130582211684,True,0.0,0.0,0.0,0.0
Java_prime-factors_exercism-java-ThomasZumsteg_ThomasZumsteg,java,claude_vs_gemini,91.39882458947059,True,0.0,0.0,0.0,0.0
cpp_prime_factors_Exercism (johnngugi),cpp,openAI_vs_claude,88.36949699060976,True,0.0,0.0,0.0,0.0
cpp_prime_factors_Exercism (johnngugi),cpp,openAI_vs_gemini,61.39552748272772,True,0.0,0.0,0.0,0.0
cpp_prime_factors_Exercism (johnngugi),cpp,claude_vs_gemini,56.56474766230148,True,0.0,0.0,0.0,0.0
cpp_prime_factors_Exercism (cmccandless),cpp,openAI_vs_claude,81.41715789115274,True,0.0,0.0,0.0,0.0
cpp_prime_factors_Exercism (cmccandless),cpp,openAI_vs_gemini,71.96460822483824,True,0.0,0.0,0.0,0.0
cpp_prime_factors_Exercism (cmccandless),cpp,claude_vs_gemini,78.06754969184615,True,0.0,0.0,0.0,0.0
cpp_prime_factors_Exercism (blogscot),cpp,openAI_vs_claude,86.5673517715386,True,0.0,0.0,0.0,0.0
cpp_prime_factors_Exercism (blogscot),cpp,openAI_vs_gemini,86.74669683397316,True,0.0,0.0,0.0,0.0
cpp_prime_factors_Exercism (blogscot),cpp,claude_vs_gemini,93.4819582694605,True,0.0,0.0,0.0,0.0
cpp_prime_factors_Exercism (MaxyMoos),cpp,openAI_vs_claude,72.56901592245949,True,0.0,0.0,0.0,0.0
cpp_prime_factors_Exercism (MaxyMoos),cpp,openAI_vs_gemini,78.43665514699855,True,0.0,0.0,0.0,0.0
