entry_id,language,cluster,llm_pair,llm1,llm2,fuzzy_ratio,fuzzy_partial,fuzzy_token_sort,cosine_similarity,average_similarity,has_baseline,openAI_success_rate,openAI_exec_time,openAI_cpu,openAI_ram,claude_success_rate,claude_exec_time,claude_cpu,claude_ram,delta_success_rate_model1,delta_exec_time_model1,delta_cpu_model1,delta_ram_model1,delta_success_rate_model2,delta_exec_time_model2,delta_cpu_model2,delta_ram_model2,success_rate_delta_diff,exec_time_delta_diff,cpu_delta_diff,ram_delta_diff,gemini_success_rate,gemini_exec_time,gemini_cpu,gemini_ram
find_peak_element_157,python,cluster_find_peak_element.json,openAI_vs_claude,openAI,claude,83.93782383419689,89.23076923076923,93.28859060402685,98.56222548132666,91.25485228757991,True,100.0,1000.0,50.0,80000.0,100.0,1000.0,50.0,80000.0,0.0,974.0,-31.799999999999997,66176.0,0.0,974.0,-31.799999999999997,66176.0,0.0,0.0,0.0,0.0,,,,
find_peak_element_157,python,cluster_find_peak_element.json,openAI_vs_gemini,openAI,gemini,79.89690721649485,84.40366972477065,89.86486486486487,96.91127937098145,87.76918029427796,True,100.0,1000.0,50.0,80000.0,,,,,0.0,974.0,-31.799999999999997,66176.0,0.0,974.0,-31.799999999999997,66176.0,0.0,0.0,0.0,0.0,100.0,1000.0,50.0,80000.0
find_peak_element_157,python,cluster_find_peak_element.json,claude_vs_gemini,claude,gemini,95.37037037037037,94.88372093023256,94.8051948051948,98.72436133533135,95.94591186028227,True,,,,,100.0,1000.0,50.0,80000.0,0.0,974.0,-31.799999999999997,66176.0,0.0,974.0,-31.799999999999997,66176.0,0.0,0.0,0.0,0.0,100.0,1000.0,50.0,80000.0
a0133clonegraph_81,python,cluster_a0133clonegraph.json,openAI_vs_claude,openAI,claude,35.47056617922759,64.75409836065573,38.82017126546147,56.1459991153029,48.79770873016193,True,100.0,1000.0,50.0,80000.0,100.0,1000.0,50.0,80000.0,0.0,974.0,-33.8,65920.0,0.0,974.0,-33.8,65920.0,0.0,0.0,0.0,0.0,,,,
a0133clonegraph_81,python,cluster_a0133clonegraph.json,openAI_vs_gemini,openAI,gemini,34.35294117647059,58.29596412556054,37.12801133679735,58.09524330471337,46.96803998588546,True,100.0,1000.0,50.0,80000.0,,,,,0.0,974.0,-33.8,65920.0,0.0,974.0,-33.8,65920.0,0.0,0.0,0.0,0.0,100.0,1000.0,50.0,80000.0
a0133clonegraph_81,python,cluster_a0133clonegraph.json,claude_vs_gemini,claude,gemini,87.7658243682762,90.3409090909091,92.06927985414768,92.99317919713886,90.79229812761795,True,,,,,100.0,1000.0,50.0,80000.0,0.0,974.0,-33.8,65920.0,0.0,974.0,-33.8,65920.0,0.0,0.0,0.0,0.0,100.0,1000.0,50.0,80000.0
kth_smallest_183,python,cluster_kth_smallest.json,openAI_vs_claude,openAI,claude,59.27518427518428,79.6244131455399,58.745874587458744,74.04019450507727,67.92141662831506,True,100.0,1000.0,50.0,80000.0,100.0,1000.0,50.0,80000.0,0.0,978.0,-30.799999999999997,66176.0,0.0,978.0,-30.799999999999997,66176.0,0.0,0.0,0.0,0.0,,,,
kth_smallest_183,python,cluster_kth_smallest.json,openAI_vs_gemini,openAI,gemini,44.34719183078045,62.197183098591545,48.995633187772924,52.27742356113686,51.95435791957044,True,100.0,1000.0,50.0,80000.0,,,,,0.0,978.0,-30.799999999999997,66176.0,0.0,978.0,-30.799999999999997,66176.0,0.0,0.0,0.0,0.0,100.0,1000.0,50.0,80000.0
kth_smallest_183,python,cluster_kth_smallest.json,claude_vs_gemini,claude,gemini,77.09410548086866,87.34100545124167,82.93118856121538,89.18223842667253,84.13713447999956,True,,,,,100.0,1000.0,50.0,80000.0,0.0,978.0,-30.799999999999997,66176.0,0.0,978.0,-30.799999999999997,66176.0,0.0,0.0,0.0,0.0,100.0,1000.0,50.0,80000.0
valid_anagram_176,python,cluster_valid_anagram.json,openAI_vs_claude,openAI,claude,45.669291338582674,80.0,50.62034739454094,36.07505349294794,53.09117305651789,True,100.0,1000.0,50.0,80000.0,100.0,1000.0,50.0,80000.0,0.0,974.0,-36.599999999999994,66176.0,0.0,974.0,-36.599999999999994,66176.0,0.0,0.0,0.0,0.0,,,,
valid_anagram_176,python,cluster_valid_anagram.json,openAI_vs_gemini,openAI,gemini,40.98360655737705,74.235807860262,41.145833333333336,31.025016687818695,46.84756610969777,True,100.0,1000.0,50.0,80000.0,,,,,0.0,974.0,-36.599999999999994,66176.0,0.0,974.0,-36.599999999999994,66176.0,0.0,0.0,0.0,0.0,100.0,1000.0,50.0,80000.0
valid_anagram_176,python,cluster_valid_anagram.json,claude_vs_gemini,claude,gemini,76.17728531855957,78.45934379457917,51.57699443413729,55.267263450567086,65.37022174946078,True,,,,,100.0,1000.0,50.0,80000.0,0.0,974.0,-36.599999999999994,66176.0,0.0,974.0,-36.599999999999994,66176.0,0.0,0.0,0.0,0.0,100.0,1000.0,50.0,80000.0
Java_log_levels_Exercism (java_rabestro),java,cluster_log_levels.json,openAI_vs_claude,openAI,claude,83.40080971659918,83.24324324324324,81.17088607594937,84.94465764546449,83.18989917031408,True,100.0,1000.0,50.0,80000.0,100.0,1000.0,50.0,80000.0,0.0,834.0,-24.400000000000006,26379.199999999997,0.0,834.0,-24.400000000000006,26379.199999999997,0.0,0.0,0.0,0.0,,,,
